session_id,timestamp,vendor_id,user_id,asset_id,label_suspicious,anomaly_score,anomaly_percentile,is_outlier
VPN_1572,2026-08-24 20:36:00,VENDOR_02,USER_02,OT_15,1,0.747566424482838,100.0,1
VPN_1235,2026-08-08 16:27:00,VENDOR_08,USER_08,OT_12,1,0.74113136769348,99.95,1
VPN_1597,2026-08-02 00:24:00,VENDOR_09,USER_09,OT_09,1,0.7356217264397024,99.9,1
VPN_0102,2026-08-23 16:59:00,VENDOR_03,USER_03,OT_15,1,0.7297972539029373,99.85,1
VPN_1275,2026-08-21 13:53:00,VENDOR_02,USER_02,OT_01,1,0.7267293407495965,99.8,1
VPN_0224,2026-08-30 02:10:00,VENDOR_07,USER_07,OT_04,1,0.7254213515639809,99.7,1
VPN_0467,2026-08-30 02:04:00,VENDOR_07,USER_07,OT_04,1,0.7254213515639809,99.7,1
VPN_0797,2026-08-30 02:07:00,VENDOR_07,USER_07,OT_04,1,0.7254213515639809,99.7,1
VPN_1877,2026-08-07 17:05:00,VENDOR_11,USER_11,OT_02,1,0.7243314818500436,99.6,1
VPN_0238,2026-08-27 06:11:00,VENDOR_11,USER_11,OT_10,1,0.722971447034468,99.55,1
VPN_1153,2026-08-28 20:49:00,VENDOR_09,USER_09,OT_12,1,0.7226997466638475,99.5,1
VPN_1346,2026-08-06 22:15:00,VENDOR_11,USER_11,OT_03,1,0.7218129648258008,99.45,1
VPN_0953,2026-08-14 23:11:00,VENDOR_10,USER_10,OT_15,1,0.7201079008008027,99.4,1
VPN_0509,2026-08-31 02:54:00,VENDOR_09,USER_09,OT_14,1,0.7197095676872345,99.35,1
VPN_1211,2026-08-24 11:04:00,VENDOR_08,USER_08,OT_12,1,0.7193912134072294,99.3,1
VPN_0527,2026-08-19 19:00:00,VENDOR_03,USER_03,OT_12,1,0.7191769197106425,99.25,1
VPN_0975,2026-08-01 00:48:00,VENDOR_04,USER_04,OT_11,1,0.717287130958837,99.2,1
VPN_0938,2026-08-23 07:42:00,VENDOR_01,USER_01,OT_02,1,0.7165577516889686,99.15,1
VPN_1553,2026-08-18 19:50:00,VENDOR_10,USER_10,OT_06,1,0.7157900963276246,99.1,1
VPN_0683,2026-08-30 02:16:00,VENDOR_07,USER_07,OT_04,1,0.7151017079509373,99.0,1
VPN_0846,2026-08-30 02:13:00,VENDOR_07,USER_07,OT_04,1,0.7151017079509373,99.0,1
VPN_0166,2026-08-30 02:19:00,VENDOR_07,USER_07,OT_04,1,0.7151017079509373,99.0,1
VPN_1844,2026-08-12 15:56:00,VENDOR_12,USER_12,OT_06,1,0.7140033767603934,98.9,1
VPN_1085,2026-08-03 08:07:00,VENDOR_01,USER_01,OT_11,0,0.7135622248149406,98.85,1
VPN_0708,2026-08-01 14:56:00,VENDOR_03,USER_03,OT_03,1,0.7127349830494395,98.8,1
